iter 1250, lr: 0.2, attr_lr: 0, batch_loss: 0.63240712240793, train_err: 0.203125, grad_norm: 0.00018351626588241
iter 1278, lr: 0.2, attr_lr: 0, batch_loss: 0.62892747657156, train_err: 0.203125, grad_norm: 0.00018509543448036
iter 1279, lr: 0.2, attr_lr: 0, batch_loss: 0.63919284702973, train_err: 0.25, grad_norm: 0.00016615333256926
iter 1280, lr: 0.2, attr_lr: 0, batch_loss: 0.63547981298271, train_err: 0.1953125, grad_norm: 0.00017001807789921
iter 1281, lr: 0.2, attr_lr: 0, batch_loss: 0.62881741680692, train_err: 0.1796875, grad_norm: 0.00017317533093162
iter 1282, lr: 0.2, attr_lr: 0, batch_loss: 0.62803554875709, train_err: 0.19921875, grad_norm: 0.00019528092889502
iter 1283, lr: 0.2, attr_lr: 0, batch_loss: 0.63601822629538, train_err: 0.1953125, grad_norm: 0.00017101976325966
iter 1284, lr: 0.2, attr_lr: 0, batch_loss: 0.63097639089695, train_err: 0.201171875, grad_norm: 0.00016363469135792
iter 1285, lr: 0.2, attr_lr: 0, batch_loss: 0.62780204277819, train_err: 0.1875, grad_norm: 0.00015653944176996
iter 1286, lr: 0.2, attr_lr: 0, batch_loss: 0.62692130208561, train_err: 0.166015625, grad_norm: 0.00017134685998993
iter 1287, lr: 0.2, attr_lr: 0, batch_loss: 0.6351341533909, train_err: 0.224609375, grad_norm: 0.00018251954247018
iter 1288, lr: 0.2, attr_lr: 0, batch_loss: 0.62712703950457, train_err: 0.177734375, grad_norm: 0.00018256414132328
iter 1289, lr: 0.2, attr_lr: 0, batch_loss: 0.63399834174856, train_err: 0.220703125, grad_norm: 0.00019055184972642
iter 1290, lr: 0.2, attr_lr: 0, batch_loss: 0.62769020311047, train_err: 0.18359375, grad_norm: 0.00019201276143943
iter 1291, lr: 0.2, attr_lr: 0, batch_loss: 0.63112341065286, train_err: 0.2109375, grad_norm: 0.0001637241798278
iter 1292, lr: 0.2, attr_lr: 0, batch_loss: 0.6335752358279, train_err: 0.20703125, grad_norm: 0.00018718715827954
iter 1293, lr: 0.2, attr_lr: 0, batch_loss: 0.63030589148996, train_err: 0.205078125, grad_norm: 0.00017174666923149
iter 1294, lr: 0.2, attr_lr: 0, batch_loss: 0.62687842334039, train_err: 0.18359375, grad_norm: 0.00017637317976812
iter 1295, lr: 0.2, attr_lr: 0, batch_loss: 0.62738007253269, train_err: 0.203125, grad_norm: 0.00020272121799739
iter 1296, lr: 0.2, attr_lr: 0, batch_loss: 0.63375888257949, train_err: 0.22265625, grad_norm: 0.00016767244817081
iter 1297, lr: 0.2, attr_lr: 0, batch_loss: 0.63930242917621, train_err: 0.208984375, grad_norm: 0.00016785492121699
iter 1298, lr: 0.2, attr_lr: 0, batch_loss: 0.62593234209995, train_err: 0.185546875, grad_norm: 0.00020012309053502
iter 1299, lr: 0.2, attr_lr: 0, batch_loss: 0.62698338250761, train_err: 0.181640625, grad_norm: 0.00019723255999313
iter 1300, lr: 0.2, attr_lr: 0, batch_loss: 0.63416285660495, train_err: 0.212890625, grad_norm: 0.00016645928956124
Testing... 
average test_loss = 0.6269764754232, average test_pred_err = 0.177
Snapshotting A_model... done
iter 1301, lr: 0.2, attr_lr: 0, batch_loss: 0.62899211223738, train_err: 0.19921875, grad_norm: 0.00020999669068204
iter 1302, lr: 0.2, attr_lr: 0, batch_loss: 0.62965302142048, train_err: 0.16796875, grad_norm: 0.00016442730092326
iter 1303, lr: 0.2, attr_lr: 0, batch_loss: 0.63455265181034, train_err: 0.21484375, grad_norm: 0.00019295245101337
iter 1304, lr: 0.2, attr_lr: 0, batch_loss: 0.62695799090236, train_err: 0.1875, grad_norm: 0.00018641742517362
iter 1305, lr: 0.2, attr_lr: 0, batch_loss: 0.63444196923394, train_err: 0.189453125, grad_norm: 0.00014329133699744
iter 1306, lr: 0.2, attr_lr: 0, batch_loss: 0.62991072220522, train_err: 0.197265625, grad_norm: 0.00016537317807861
iter 1307, lr: 0.2, attr_lr: 0, batch_loss: 0.6296536213592, train_err: 0.1953125, grad_norm: 0.00019191566749589
iter 1308, lr: 0.2, attr_lr: 0, batch_loss: 0.63091080306106, train_err: 0.185546875, grad_norm: 0.00018671422827527
iter 1309, lr: 0.2, attr_lr: 0, batch_loss: 0.62684997208717, train_err: 0.17578125, grad_norm: 0.00022319150829639
iter 1310, lr: 0.2, attr_lr: 0, batch_loss: 0.63178673119906, train_err: 0.208984375, grad_norm: 0.0001856307837064
iter 1311, lr: 0.2, attr_lr: 0, batch_loss: 0.62722107506242, train_err: 0.22265625, grad_norm: 0.00018341524623961
iter 1312, lr: 0.2, attr_lr: 0, batch_loss: 0.63117265904882, train_err: 0.185546875, grad_norm: 0.00019097197365884
iter 1313, lr: 0.2, attr_lr: 0, batch_loss: 0.62722459195301, train_err: 0.171875, grad_norm: 0.00016228086018835
iter 1314, lr: 0.2, attr_lr: 0, batch_loss: 0.63443909231142, train_err: 0.201171875, grad_norm: 0.00015920888407222
iter 1315, lr: 0.2, attr_lr: 0, batch_loss: 0.63074005943872, train_err: 0.189453125, grad_norm: 0.00014740634023675
iter 1316, lr: 0.2, attr_lr: 0, batch_loss: 0.62429049630621, train_err: 0.1796875, grad_norm: 0.00021978494779735
iter 1317, lr: 0.2, attr_lr: 0, batch_loss: 0.63328661751195, train_err: 0.19921875, grad_norm: 0.00017009618235541
iter 1318, lr: 0.2, attr_lr: 0, batch_loss: 0.63494586631848, train_err: 0.181640625, grad_norm: 0.00015710007033216
iter 1319, lr: 0.2, attr_lr: 0, batch_loss: 0.62761371365652, train_err: 0.193359375, grad_norm: 0.00017605359477348
iter 1320, lr: 0.2, attr_lr: 0, batch_loss: 0.63511356148915, train_err: 0.21484375, grad_norm: 0.00015057667235409
iter 1321, lr: 0.2, attr_lr: 0, batch_loss: 0.63311892352635, train_err: 0.19140625, grad_norm: 0.00016230860928282
iter 1322, lr: 0.2, attr_lr: 0, batch_loss: 0.62759349795653, train_err: 0.193359375, grad_norm: 0.00020225442268692
iter 1323, lr: 0.2, attr_lr: 0, batch_loss: 0.62528284044525, train_err: 0.1875, grad_norm: 0.00020593421953009
iter 1324, lr: 0.2, attr_lr: 0, batch_loss: 0.63133284361173, train_err: 0.1796875, grad_norm: 0.0001595928694709
iter 1325, lr: 0.2, attr_lr: 0, batch_loss: 0.63227202929307, train_err: 0.19921875, grad_norm: 0.00017125349749553
iter 1326, lr: 0.2, attr_lr: 0, batch_loss: 0.6280854071053, train_err: 0.1875, grad_norm: 0.00019514931595612
iter 1327, lr: 0.2, attr_lr: 0, batch_loss: 0.63139764634685, train_err: 0.197265625, grad_norm: 0.00017950271262528
iter 1328, lr: 0.2, attr_lr: 0, batch_loss: 0.63160050082398, train_err: 0.208984375, grad_norm: 0.00017538197129539
iter 1329, lr: 0.2, attr_lr: 0, batch_loss: 0.6337580575359, train_err: 0.23046875, grad_norm: 0.00017604844606318
iter 1330, lr: 0.2, attr_lr: 0, batch_loss: 0.63106744071947, train_err: 0.21484375, grad_norm: 0.00020661931169328
iter 1331, lr: 0.2, attr_lr: 0, batch_loss: 0.6271627691419, train_err: 0.19921875, grad_norm: 0.00020683375815837
iter 1332, lr: 0.2, attr_lr: 0, batch_loss: 0.62730091181869, train_err: 0.181640625, grad_norm: 0.00017613775613618
iter 1333, lr: 0.2, attr_lr: 0, batch_loss: 0.63148364682211, train_err: 0.203125, grad_norm: 0.00018189777383738
iter 1334, lr: 0.2, attr_lr: 0, batch_loss: 0.63540087244878, train_err: 0.236328125, grad_norm: 0.00016781097407166
iter 1335, lr: 0.2, attr_lr: 0, batch_loss: 0.62988330365563, train_err: 0.1953125, grad_norm: 0.00019613366627646
iter 1336, lr: 0.2, attr_lr: 0, batch_loss: 0.63050046728791, train_err: 0.220703125, grad_norm: 0.00017711009624216
iter 1337, lr: 0.2, attr_lr: 0, batch_loss: 0.62995157872872, train_err: 0.197265625, grad_norm: 0.00019484635727941
iter 1338, lr: 0.2, attr_lr: 0, batch_loss: 0.63146798439962, train_err: 0.185546875, grad_norm: 0.00018463899305487
iter 1339, lr: 0.2, attr_lr: 0, batch_loss: 0.63422291471034, train_err: 0.1953125, grad_norm: 0.00018299366880851
iter 1340, lr: 0.2, attr_lr: 0, batch_loss: 0.63199526455559, train_err: 0.224609375, grad_norm: 0.00017228190703393
iter 1341, lr: 0.2, attr_lr: 0, batch_loss: 0.63369702402307, train_err: 0.21875, grad_norm: 0.00018203775761865
iter 1342, lr: 0.2, attr_lr: 0, batch_loss: 0.63495609038188, train_err: 0.248046875, grad_norm: 0.00021633401396441
iter 1343, lr: 0.2, attr_lr: 0, batch_loss: 0.62823890093442, train_err: 0.169921875, grad_norm: 0.00018182764831589
iter 1344, lr: 0.2, attr_lr: 0, batch_loss: 0.63027215992543, train_err: 0.19140625, grad_norm: 0.00017577787745684
iter 1345, lr: 0.2, attr_lr: 0, batch_loss: 0.62609558732662, train_err: 0.1796875, grad_norm: 0.00020296524207744
iter 1346, lr: 0.2, attr_lr: 0, batch_loss: 0.62202146235829, train_err: 0.18359375, grad_norm: 0.00023437685122385
iter 1347, lr: 0.2, attr_lr: 0, batch_loss: 0.62445799829584, train_err: 0.205078125, grad_norm: 0.00022009662210893
iter 1348, lr: 0.2, attr_lr: 0, batch_loss: 0.63618992441581, train_err: 0.2109375, grad_norm: 0.00014413106773282
iter 1349, lr: 0.2, attr_lr: 0, batch_loss: 0.6309347156925, train_err: 0.21484375, grad_norm: 0.00016246412429129
iter 1350, lr: 0.2, attr_lr: 0, batch_loss: 0.62968225367286, train_err: 0.16015625, grad_norm: 0.00016836588478285
Testing... 
average test_loss = 0.62688651006395, average test_pred_err = 0.156
iter 1351, lr: 0.2, attr_lr: 0, batch_loss: 0.63318304811038, train_err: 0.212890625, grad_norm: 0.00017447226822062
iter 1352, lr: 0.2, attr_lr: 0, batch_loss: 0.6339069851608, train_err: 0.220703125, grad_norm: 0.00018209590857052
iter 1353, lr: 0.2, attr_lr: 0, batch_loss: 0.62464990265192, train_err: 0.193359375, grad_norm: 0.0001970274707011
iter 1354, lr: 0.2, attr_lr: 0, batch_loss: 0.63481346028514, train_err: 0.19140625, grad_norm: 0.00016147866362637
iter 1355, lr: 0.2, attr_lr: 0, batch_loss: 0.62399487765115, train_err: 0.171875, grad_norm: 0.00019188927282881
iter 1356, lr: 0.2, attr_lr: 0, batch_loss: 0.62506555331068, train_err: 0.171875, grad_norm: 0.00021121416940407
iter 1357, lr: 0.2, attr_lr: 0, batch_loss: 0.63003646528578, train_err: 0.19140625, grad_norm: 0.00019613179827561
iter 1358, lr: 0.2, attr_lr: 0, batch_loss: 0.62730365681921, train_err: 0.19921875, grad_norm: 0.00017931718326201
iter 1359, lr: 0.2, attr_lr: 0, batch_loss: 0.63019458742358, train_err: 0.201171875, grad_norm: 0.00020099712944186
iter 1360, lr: 0.2, attr_lr: 0, batch_loss: 0.62764391078724, train_err: 0.15625, grad_norm: 0.00017365007101901
iter 1361, lr: 0.2, attr_lr: 0, batch_loss: 0.63989370978939, train_err: 0.240234375, grad_norm: 0.00016312573557344
iter 1362, lr: 0.2, attr_lr: 0, batch_loss: 0.62413323798465, train_err: 0.19140625, grad_norm: 0.00021166612341848
iter 1363, lr: 0.2, attr_lr: 0, batch_loss: 0.62421673112925, train_err: 0.197265625, grad_norm: 0.00018374374993385
iter 1364, lr: 0.2, attr_lr: 0, batch_loss: 0.62942975717482, train_err: 0.173828125, grad_norm: 0.00015518901702127
iter 1365, lr: 0.2, attr_lr: 0, batch_loss: 0.63360603890169, train_err: 0.203125, grad_norm: 0.00015886368405681
iter 1366, lr: 0.2, attr_lr: 0, batch_loss: 0.63033859667592, train_err: 0.19921875, grad_norm: 0.0001907936821743
iter 1367, lr: 0.2, attr_lr: 0, batch_loss: 0.63328292044789, train_err: 0.240234375, grad_norm: 0.00016311657201483
iter 1368, lr: 0.2, attr_lr: 0, batch_loss: 0.62894739805811, train_err: 0.171875, grad_norm: 0.00018341668138533
iter 1369, lr: 0.2, attr_lr: 0, batch_loss: 0.63046052768308, train_err: 0.18359375, grad_norm: 0.00015977132312113
iter 1370, lr: 0.2, attr_lr: 0, batch_loss: 0.63634364833425, train_err: 0.224609375, grad_norm: 0.00015984837952887
iter 1371, lr: 0.2, attr_lr: 0, batch_loss: 0.62531952448007, train_err: 0.173828125, grad_norm: 0.0001799735457721
iter 1372, lr: 0.2, attr_lr: 0, batch_loss: 0.6227810653285, train_err: 0.16796875, grad_norm: 0.00018789996157974
iter 1373, lr: 0.2, attr_lr: 0, batch_loss: 0.63749125303881, train_err: 0.20703125, grad_norm: 0.00014527773313841
iter 1374, lr: 0.2, attr_lr: 0, batch_loss: 0.6222936659832, train_err: 0.16015625, grad_norm: 0.00022647714752889
iter 1375, lr: 0.2, attr_lr: 0, batch_loss: 0.63453733449622, train_err: 0.2109375, grad_norm: 0.00017019645239375
iter 1376, lr: 0.2, attr_lr: 0, batch_loss: 0.63408469203556, train_err: 0.197265625, grad_norm: 0.000176414126224
iter 1377, lr: 0.2, attr_lr: 0, batch_loss: 0.62504154319059, train_err: 0.1953125, grad_norm: 0.00016978091953883
iter 1378, lr: 0.2, attr_lr: 0, batch_loss: 0.63330225648527, train_err: 0.201171875, grad_norm: 0.00016826209367747
iter 1379, lr: 0.2, attr_lr: 0, batch_loss: 0.62969456385391, train_err: 0.1875, grad_norm: 0.00017424027619042
iter 1380, lr: 0.2, attr_lr: 0, batch_loss: 0.63089734750584, train_err: 0.216796875, grad_norm: 0.00018739603248756
iter 1381, lr: 0.2, attr_lr: 0, batch_loss: 0.62962365556894, train_err: 0.185546875, grad_norm: 0.00015815899852395
iter 1382, lr: 0.2, attr_lr: 0, batch_loss: 0.63511539292508, train_err: 0.232421875, grad_norm: 0.00019638465647205
iter 1383, lr: 0.2, attr_lr: 0, batch_loss: 0.62694629463251, train_err: 0.1796875, grad_norm: 0.00018466012726839
iter 1384, lr: 0.2, attr_lr: 0, batch_loss: 0.63011427761042, train_err: 0.189453125, grad_norm: 0.00014875760286238
iter 1385, lr: 0.2, attr_lr: 0, batch_loss: 0.62509428501888, train_err: 0.205078125, grad_norm: 0.00020349760566226
iter 1386, lr: 0.2, attr_lr: 0, batch_loss: 0.63708081525931, train_err: 0.216796875, grad_norm: 0.00014435272080232
iter 1387, lr: 0.2, attr_lr: 0, batch_loss: 0.63347735948208, train_err: 0.181640625, grad_norm: 0.00014021034832918
iter 1388, lr: 0.2, attr_lr: 0, batch_loss: 0.63666721766765, train_err: 0.21484375, grad_norm: 0.00016670287850427
iter 1389, lr: 0.2, attr_lr: 0, batch_loss: 0.63183946045806, train_err: 0.2109375, grad_norm: 0.00015591588091363
iter 1390, lr: 0.2, attr_lr: 0, batch_loss: 0.63066780493017, train_err: 0.205078125, grad_norm: 0.00017439954720283
iter 1391, lr: 0.2, attr_lr: 0, batch_loss: 0.6257025010842, train_err: 0.177734375, grad_norm: 0.00022714922394026
iter 1392, lr: 0.2, attr_lr: 0, batch_loss: 0.63061670497511, train_err: 0.18359375, grad_norm: 0.00017315960558213
iter 1393, lr: 0.2, attr_lr: 0, batch_loss: 0.61698999436743, train_err: 0.181640625, grad_norm: 0.00020965883304526
iter 1394, lr: 0.2, attr_lr: 0, batch_loss: 0.62458552517332, train_err: 0.1875, grad_norm: 0.00019941347224856
iter 1395, lr: 0.2, attr_lr: 0, batch_loss: 0.62694805930442, train_err: 0.201171875, grad_norm: 0.00016934838737471
iter 1396, lr: 0.2, attr_lr: 0, batch_loss: 0.63408070772192, train_err: 0.2109375, grad_norm: 0.00017436654021023
iter 1397, lr: 0.2, attr_lr: 0, batch_loss: 0.63301514266657, train_err: 0.197265625, grad_norm: 0.00018340642655677
iter 1398, lr: 0.2, attr_lr: 0, batch_loss: 0.63981476028867, train_err: 0.23046875, grad_norm: 0.00014620183284093
iter 1399, lr: 0.2, attr_lr: 0, batch_loss: 0.62561139699923, train_err: 0.197265625, grad_norm: 0.0001933395834894
iter 1400, lr: 0.2, attr_lr: 0, batch_loss: 0.62377193520509, train_err: 0.181640625, grad_norm: 0.00019700983845905
Testing... 
average test_loss = 0.62473196461814, average test_pred_err = 0.152
Snapshotting A_model... done
iter 1401, lr: 0.2, attr_lr: 0, batch_loss: 0.62255150446746, train_err: 0.205078125, grad_norm: 0.00021958485638353
iter 1402, lr: 0.2, attr_lr: 0, batch_loss: 0.62882731262196, train_err: 0.203125, grad_norm: 0.00017352547236099
iter 1403, lr: 0.2, attr_lr: 0, batch_loss: 0.63530607949007, train_err: 0.228515625, grad_norm: 0.0001552272233622
iter 1404, lr: 0.2, attr_lr: 0, batch_loss: 0.63616826153253, train_err: 0.21875, grad_norm: 0.00015407227886824
iter 1405, lr: 0.2, attr_lr: 0, batch_loss: 0.62944588503806, train_err: 0.185546875, grad_norm: 0.00017489435505868
iter 1406, lr: 0.2, attr_lr: 0, batch_loss: 0.63616203314477, train_err: 0.189453125, grad_norm: 0.0001487264247186
iter 1407, lr: 0.2, attr_lr: 0, batch_loss: 0.63304959104591, train_err: 0.208984375, grad_norm: 0.00015012053073571
iter 1408, lr: 0.2, attr_lr: 0, batch_loss: 0.63521490118947, train_err: 0.1796875, grad_norm: 0.00015558500107287
iter 1409, lr: 0.2, attr_lr: 0, batch_loss: 0.63239100060979, train_err: 0.193359375, grad_norm: 0.0001614856102202
iter 1410, lr: 0.2, attr_lr: 0, batch_loss: 0.63124015634527, train_err: 0.19921875, grad_norm: 0.00016411328357239
iter 1411, lr: 0.2, attr_lr: 0, batch_loss: 0.6331058913053, train_err: 0.201171875, grad_norm: 0.00016449448670805
iter 1412, lr: 0.2, attr_lr: 0, batch_loss: 0.63297932971782, train_err: 0.216796875, grad_norm: 0.00016878751690485
iter 1413, lr: 0.2, attr_lr: 0, batch_loss: 0.63583320744318, train_err: 0.216796875, grad_norm: 0.00014234419933092
iter 1414, lr: 0.2, attr_lr: 0, batch_loss: 0.63367459983798, train_err: 0.2109375, grad_norm: 0.00018605774459316
iter 1415, lr: 0.2, attr_lr: 0, batch_loss: 0.63287204835066, train_err: 0.212890625, grad_norm: 0.00016789768624146
iter 1416, lr: 0.2, attr_lr: 0, batch_loss: 0.62671033123215, train_err: 0.1875, grad_norm: 0.00020316666334683
iter 1417, lr: 0.2, attr_lr: 0, batch_loss: 0.631328762662, train_err: 0.224609375, grad_norm: 0.00019050388288199
iter 1418, lr: 0.2, attr_lr: 0, batch_loss: 0.62715755367021, train_err: 0.177734375, grad_norm: 0.00017200871503128
iter 1419, lr: 0.2, attr_lr: 0, batch_loss: 0.62251367246593, train_err: 0.17578125, grad_norm: 0.00018394421259167
iter 1420, lr: 0.2, attr_lr: 0, batch_loss: 0.62539305400709, train_err: 0.19921875, grad_norm: 0.00020197908870064
iter 1421, lr: 0.2, attr_lr: 0, batch_loss: 0.63224813613581, train_err: 0.22265625, grad_norm: 0.00016510040315237
iter 1422, lr: 0.2, attr_lr: 0, batch_loss: 0.63088908261222, train_err: 0.205078125, grad_norm: 0.00016311550991735
iter 1423, lr: 0.2, attr_lr: 0, batch_loss: 0.63078700003985, train_err: 0.189453125, grad_norm: 0.00018456857340178
iter 1424, lr: 0.2, attr_lr: 0, batch_loss: 0.62891864101474, train_err: 0.21484375, grad_norm: 0.00021538786445857
iter 1425, lr: 0.2, attr_lr: 0, batch_loss: 0.62440951346169, train_err: 0.203125, grad_norm: 0.00016831558644739
iter 1426, lr: 0.2, attr_lr: 0, batch_loss: 0.63475917337946, train_err: 0.197265625, grad_norm: 0.00017730249289181
iter 1427, lr: 0.2, attr_lr: 0, batch_loss: 0.6325518436967, train_err: 0.21484375, grad_norm: 0.00016332250763008
iter 1428, lr: 0.2, attr_lr: 0, batch_loss: 0.62613248345883, train_err: 0.154296875, grad_norm: 0.00016187917093534
iter 1429, lr: 0.2, attr_lr: 0, batch_loss: 0.63017850492466, train_err: 0.20703125, grad_norm: 0.00014088828753848
iter 1430, lr: 0.2, attr_lr: 0, batch_loss: 0.63326570163017, train_err: 0.208984375, grad_norm: 0.00014754056385734
iter 1431, lr: 0.2, attr_lr: 0, batch_loss: 0.63032266835539, train_err: 0.216796875, grad_norm: 0.00017530552228772
iter 1432, lr: 0.2, attr_lr: 0, batch_loss: 0.63084002555106, train_err: 0.19921875, grad_norm: 0.00015430162827866
iter 1433, lr: 0.2, attr_lr: 0, batch_loss: 0.63743760653556, train_err: 0.232421875, grad_norm: 0.00019289201327645
iter 1434, lr: 0.2, attr_lr: 0, batch_loss: 0.62757433270416, train_err: 0.19140625, grad_norm: 0.0001742222211923
iter 1435, lr: 0.2, attr_lr: 0, batch_loss: 0.62957069586909, train_err: 0.20703125, grad_norm: 0.00017625181677776
iter 1436, lr: 0.2, attr_lr: 0, batch_loss: 0.62718499813555, train_err: 0.1875, grad_norm: 0.00018454436510112
iter 1437, lr: 0.2, attr_lr: 0, batch_loss: 0.63298233138166, train_err: 0.23046875, grad_norm: 0.00017863537751005
iter 1438, lr: 0.2, attr_lr: 0, batch_loss: 0.62790587144534, train_err: 0.185546875, grad_norm: 0.0001601624493815
iter 1439, lr: 0.2, attr_lr: 0, batch_loss: 0.62956471690811, train_err: 0.171875, grad_norm: 0.00013852918530058
iter 1440, lr: 0.2, attr_lr: 0, batch_loss: 0.6260578914591, train_err: 0.19140625, grad_norm: 0.00019348623631953
iter 1441, lr: 0.2, attr_lr: 0, batch_loss: 0.62614925872915, train_err: 0.21484375, grad_norm: 0.00019119212747055
iter 1442, lr: 0.2, attr_lr: 0, batch_loss: 0.62736415872631, train_err: 0.181640625, grad_norm: 0.00015591452304858
iter 1443, lr: 0.2, attr_lr: 0, batch_loss: 0.62538968595839, train_err: 0.18359375, grad_norm: 0.00019496372823399
iter 1444, lr: 0.2, attr_lr: 0, batch_loss: 0.63613122382156, train_err: 0.2265625, grad_norm: 0.00016086930661899
iter 1445, lr: 0.2, attr_lr: 0, batch_loss: 0.63210618792242, train_err: 0.201171875, grad_norm: 0.00016111510224576
iter 1446, lr: 0.2, attr_lr: 0, batch_loss: 0.63111160020841, train_err: 0.1953125, grad_norm: 0.0001704676182561
iter 1447, lr: 0.2, attr_lr: 0, batch_loss: 0.63083798017658, train_err: 0.193359375, grad_norm: 0.00016826747840874
iter 1448, lr: 0.2, attr_lr: 0, batch_loss: 0.63775355690596, train_err: 0.2265625, grad_norm: 0.00016079071121011
iter 1449, lr: 0.2, attr_lr: 0, batch_loss: 0.62797611284201, train_err: 0.17578125, grad_norm: 0.00015471427065696
iter 1450, lr: 0.2, attr_lr: 0, batch_loss: 0.62641111169019, train_err: 0.189453125, grad_norm: 0.00017915766079481
Testing... 
average test_loss = 0.62672842639552, average test_pred_err = 0.162
iter 1451, lr: 0.2, attr_lr: 0, batch_loss: 0.62789476337335, train_err: 0.166015625, grad_norm: 0.00016701765392276
iter 1452, lr: 0.2, attr_lr: 0, batch_loss: 0.62664066968139, train_err: 0.201171875, grad_norm: 0.00018048883556172
iter 1453, lr: 0.2, attr_lr: 0, batch_loss: 0.6279050946497, train_err: 0.181640625, grad_norm: 0.00018330213540761
iter 1454, lr: 0.2, attr_lr: 0, batch_loss: 0.62791869199442, train_err: 0.193359375, grad_norm: 0.00017662262485759
iter 1455, lr: 0.2, attr_lr: 0, batch_loss: 0.62800967142547, train_err: 0.185546875, grad_norm: 0.00018817420560635
iter 1456, lr: 0.2, attr_lr: 0, batch_loss: 0.62775195851824, train_err: 0.1953125, grad_norm: 0.00017693692491989
iter 1457, lr: 0.2, attr_lr: 0, batch_loss: 0.6303259907502, train_err: 0.19140625, grad_norm: 0.000154464028454
iter 1458, lr: 0.2, attr_lr: 0, batch_loss: 0.62860164918591, train_err: 0.1953125, grad_norm: 0.00019713360440093
iter 1459, lr: 0.2, attr_lr: 0, batch_loss: 0.62950489327483, train_err: 0.203125, grad_norm: 0.00017724463292858
iter 1460, lr: 0.2, attr_lr: 0, batch_loss: 0.63108421087068, train_err: 0.181640625, grad_norm: 0.00016809466393882
