Loading pretrained model... done
Testing... average test_loss = 6.8737384969377, average test_pred_err = 0.456
Iteration no. 1, lr = 2, attribute lr =0.02, average batch_loss = 8.2180102632527, Training Error = 0.494140625
Iteration no. 65, lr = 2, attribute lr =0.02, average batch_loss = 0.64800492982355, Training Error = 0.376953125
Iteration no. 66, lr = 2, attribute lr =0.02, average batch_loss = 0.67630987636411, Training Error = 0.400390625
Iteration no. 67, lr = 2, attribute lr =0.02, average batch_loss = 0.62114412381112, Training Error = 0.349609375
Iteration no. 68, lr = 2, attribute lr =0.02, average batch_loss = 0.63701004291749, Training Error = 0.3671875
Iteration no. 69, lr = 2, attribute lr =0.02, average batch_loss = 0.62782032993936, Training Error = 0.373046875
Iteration no. 70, lr = 2, attribute lr =0.02, average batch_loss = 0.60927849220709, Training Error = 0.33984375
Iteration no. 71, lr = 2, attribute lr =0.02, average batch_loss = 0.63294455166474, Training Error = 0.353515625
Iteration no. 72, lr = 2, attribute lr =0.02, average batch_loss = 0.63955899482968, Training Error = 0.37890625
Iteration no. 73, lr = 2, attribute lr =0.02, average batch_loss = 0.6289756802928, Training Error = 0.345703125
Iteration no. 74, lr = 2, attribute lr =0.02, average batch_loss = 0.62529573886818, Training Error = 0.359375
Iteration no. 75, lr = 2, attribute lr =0.02, average batch_loss = 0.62831252264619, Training Error = 0.357421875
Iteration no. 76, lr = 2, attribute lr =0.02, average batch_loss = 0.64854788803714, Training Error = 0.396484375
Iteration no. 77, lr = 2, attribute lr =0.02, average batch_loss = 0.63140237775857, Training Error = 0.365234375
Iteration no. 78, lr = 2, attribute lr =0.02, average batch_loss = 0.60290012106803, Training Error = 0.3203125
Iteration no. 79, lr = 2, attribute lr =0.02, average batch_loss = 0.60305616243774, Training Error = 0.330078125
Iteration no. 80, lr = 2, attribute lr =0.02, average batch_loss = 0.62334084167173, Training Error = 0.37890625
Iteration no. 81, lr = 2, attribute lr =0.02, average batch_loss = 0.61300033938773, Training Error = 0.34375
Iteration no. 82, lr = 2, attribute lr =0.02, average batch_loss = 0.61602915848441, Training Error = 0.345703125
Iteration no. 83, lr = 2, attribute lr =0.02, average batch_loss = 0.62339378653454, Training Error = 0.357421875
Iteration no. 84, lr = 2, attribute lr =0.02, average batch_loss = 0.61266342745645, Training Error = 0.34765625
Iteration no. 85, lr = 2, attribute lr =0.02, average batch_loss = 0.59698976693144, Training Error = 0.31640625
Iteration no. 86, lr = 2, attribute lr =0.02, average batch_loss = 0.61779772289731, Training Error = 0.35546875
Iteration no. 87, lr = 2, attribute lr =0.02, average batch_loss = 0.63966431789321, Training Error = 0.36328125
Iteration no. 88, lr = 2, attribute lr =0.02, average batch_loss = 0.65933133740254, Training Error = 0.376953125
Iteration no. 89, lr = 2, attribute lr =0.02, average batch_loss = 0.6268452942077, Training Error = 0.361328125
Iteration no. 90, lr = 2, attribute lr =0.02, average batch_loss = 0.62510053946594, Training Error = 0.349609375
Iteration no. 91, lr = 2, attribute lr =0.02, average batch_loss = 0.61181969092961, Training Error = 0.359375
Iteration no. 92, lr = 2, attribute lr =0.02, average batch_loss = 0.60971224759583, Training Error = 0.328125
Iteration no. 93, lr = 2, attribute lr =0.02, average batch_loss = 0.58306060487518, Training Error = 0.3046875
Iteration no. 94, lr = 2, attribute lr =0.02, average batch_loss = 0.60919702866756, Training Error = 0.33203125
Iteration no. 95, lr = 2, attribute lr =0.02, average batch_loss = 0.62551798476715, Training Error = 0.341796875
Iteration no. 96, lr = 2, attribute lr =0.02, average batch_loss = 0.59798828186293, Training Error = 0.330078125
Iteration no. 97, lr = 2, attribute lr =0.02, average batch_loss = 0.61019200982292, Training Error = 0.337890625
Iteration no. 98, lr = 2, attribute lr =0.02, average batch_loss = 0.6383746555749, Training Error = 0.36328125
Iteration no. 99, lr = 2, attribute lr =0.02, average batch_loss = 0.5877384838298, Training Error = 0.328125
Iteration no. 100, lr = 2, attribute lr =0.02, average batch_loss = 0.59565026526119, Training Error = 0.326171875
Testing... average test_loss = 0.73570808835249, average test_pred_err = 0.482
Snapshotting C_model... done
Iteration no. 101, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60751388312478, Training Error = 0.3203125
Iteration no. 102, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59738226429878, Training Error = 0.3359375
Iteration no. 103, lr = 1.4, attribute lr =0.02, average batch_loss = 0.62414198326239, Training Error = 0.369140625
Iteration no. 104, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60947668156171, Training Error = 0.345703125
Iteration no. 105, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57674294761925, Training Error = 0.3046875
Iteration no. 106, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60038388131074, Training Error = 0.33984375
Iteration no. 107, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57804337525434, Training Error = 0.31640625
Iteration no. 108, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60147957107365, Training Error = 0.330078125
Iteration no. 109, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59400864551345, Training Error = 0.3125
Iteration no. 110, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5923462471158, Training Error = 0.3203125
Iteration no. 111, lr = 1.4, attribute lr =0.02, average batch_loss = 0.63184618292029, Training Error = 0.369140625
Iteration no. 112, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60437228212979, Training Error = 0.34375
Iteration no. 113, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57500162057897, Training Error = 0.3125
Iteration no. 114, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59847959935137, Training Error = 0.3203125
Iteration no. 115, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56429680166019, Training Error = 0.306640625
Iteration no. 116, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57642589785313, Training Error = 0.3203125
Iteration no. 117, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59826813505889, Training Error = 0.310546875
Iteration no. 118, lr = 1.4, attribute lr =0.02, average batch_loss = 0.62356317858394, Training Error = 0.353515625
Iteration no. 119, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59442873388568, Training Error = 0.330078125
Iteration no. 120, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58826060507593, Training Error = 0.30859375
Iteration no. 121, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60337299896605, Training Error = 0.333984375
Iteration no. 122, lr = 1.4, attribute lr =0.02, average batch_loss = 0.570723111815, Training Error = 0.2890625
Iteration no. 123, lr = 1.4, attribute lr =0.02, average batch_loss = 0.61076313452409, Training Error = 0.341796875
Iteration no. 124, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60158214299441, Training Error = 0.326171875
Iteration no. 125, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59534495227018, Training Error = 0.32421875
Iteration no. 126, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60851378252526, Training Error = 0.345703125
Iteration no. 127, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59297835625299, Training Error = 0.326171875
Iteration no. 128, lr = 1.4, attribute lr =0.02, average batch_loss = 0.61056648987853, Training Error = 0.349609375
Iteration no. 129, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58782100704526, Training Error = 0.314453125
Iteration no. 130, lr = 1.4, attribute lr =0.02, average batch_loss = 0.61953431542397, Training Error = 0.333984375
Iteration no. 131, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58561696126622, Training Error = 0.294921875
Iteration no. 132, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5975229264814, Training Error = 0.333984375
Iteration no. 133, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5933403790304, Training Error = 0.310546875
Iteration no. 134, lr = 1.4, attribute lr =0.02, average batch_loss = 0.6110350247803, Training Error = 0.36328125
Iteration no. 135, lr = 1.4, attribute lr =0.02, average batch_loss = 0.61020519228846, Training Error = 0.36328125
Iteration no. 136, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58350180130956, Training Error = 0.310546875
Iteration no. 137, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57247706488837, Training Error = 0.310546875
Iteration no. 138, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60627299042376, Training Error = 0.337890625
Iteration no. 139, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60293686525151, Training Error = 0.3359375
Iteration no. 140, lr = 1.4, attribute lr =0.02, average batch_loss = 0.61664530253406, Training Error = 0.34375
Iteration no. 141, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58490542747937, Training Error = 0.330078125
Iteration no. 142, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57017809314267, Training Error = 0.296875
Iteration no. 143, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59631944357926, Training Error = 0.3515625
Iteration no. 144, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58280437700663, Training Error = 0.32421875
Iteration no. 145, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58678142383878, Training Error = 0.341796875
Iteration no. 146, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57179244250262, Training Error = 0.31640625
Iteration no. 147, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58985037486753, Training Error = 0.326171875
Iteration no. 148, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5751144198381, Training Error = 0.30859375
Iteration no. 149, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59268077610264, Training Error = 0.322265625
Iteration no. 150, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57417870088611, Training Error = 0.298828125
Testing... average test_loss = 0.77817548617927, average test_pred_err = 0.471
Iteration no. 151, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59171824518051, Training Error = 0.318359375
Iteration no. 152, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57761763552541, Training Error = 0.27734375
Iteration no. 153, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57676571406364, Training Error = 0.3125
Iteration no. 154, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57390180238849, Training Error = 0.30859375
Iteration no. 155, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56081460479343, Training Error = 0.287109375
Iteration no. 156, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5741548469685, Training Error = 0.318359375
Iteration no. 157, lr = 1.4, attribute lr =0.02, average batch_loss = 0.60526991875164, Training Error = 0.33984375
Iteration no. 158, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54638788731378, Training Error = 0.263671875
Iteration no. 159, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57550279443793, Training Error = 0.3203125
Iteration no. 160, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58046758451291, Training Error = 0.328125
Iteration no. 161, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59607404189592, Training Error = 0.330078125
Iteration no. 162, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54630670174738, Training Error = 0.29296875
Iteration no. 163, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56644575679304, Training Error = 0.302734375
Iteration no. 164, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55886073854487, Training Error = 0.2734375
Iteration no. 165, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58371589804943, Training Error = 0.3046875
Iteration no. 166, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57686358079809, Training Error = 0.3125
Iteration no. 167, lr = 1.4, attribute lr =0.02, average batch_loss = 0.59554998736151, Training Error = 0.31640625
Iteration no. 168, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56941941980054, Training Error = 0.30859375
Iteration no. 169, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57290152656107, Training Error = 0.3046875
Iteration no. 170, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54919413490562, Training Error = 0.28515625
Iteration no. 171, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55183688734289, Training Error = 0.2734375
Iteration no. 172, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55426466817801, Training Error = 0.271484375
Iteration no. 173, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5719091665576, Training Error = 0.30078125
Iteration no. 174, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57779034493221, Training Error = 0.31640625
Iteration no. 175, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55431997237368, Training Error = 0.267578125
Iteration no. 176, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55827363619289, Training Error = 0.275390625
Iteration no. 177, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5497176032507, Training Error = 0.2734375
Iteration no. 178, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57577436339375, Training Error = 0.3125
Iteration no. 179, lr = 1.4, attribute lr =0.02, average batch_loss = 0.52809542065438, Training Error = 0.26171875
Iteration no. 180, lr = 1.4, attribute lr =0.02, average batch_loss = 0.53694984930005, Training Error = 0.298828125
Iteration no. 181, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55635732297431, Training Error = 0.322265625
Iteration no. 182, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55747378658768, Training Error = 0.27734375
Iteration no. 183, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58914560238187, Training Error = 0.33203125
Iteration no. 184, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58360445646593, Training Error = 0.306640625
Iteration no. 185, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5603094388947, Training Error = 0.3046875
Iteration no. 186, lr = 1.4, attribute lr =0.02, average batch_loss = 0.5544946795367, Training Error = 0.296875
Iteration no. 187, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54128499934748, Training Error = 0.28515625
Iteration no. 188, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57227132567496, Training Error = 0.287109375
Iteration no. 189, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56590217332358, Training Error = 0.296875
Iteration no. 190, lr = 1.4, attribute lr =0.02, average batch_loss = 0.58306196532932, Training Error = 0.32421875
Iteration no. 191, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57192431577662, Training Error = 0.318359375
Iteration no. 192, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54278805941202, Training Error = 0.3046875
Iteration no. 193, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54553334397237, Training Error = 0.283203125
Iteration no. 194, lr = 1.4, attribute lr =0.02, average batch_loss = 0.51768678710816, Training Error = 0.263671875
Iteration no. 195, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57464413601721, Training Error = 0.310546875
Iteration no. 196, lr = 1.4, attribute lr =0.02, average batch_loss = 0.56594960810428, Training Error = 0.287109375
Iteration no. 197, lr = 1.4, attribute lr =0.02, average batch_loss = 0.54943824439466, Training Error = 0.30078125
Iteration no. 198, lr = 1.4, attribute lr =0.02, average batch_loss = 0.550007658013, Training Error = 0.2890625
Iteration no. 199, lr = 1.4, attribute lr =0.02, average batch_loss = 0.55960148867805, Training Error = 0.298828125
Iteration no. 200, lr = 1.4, attribute lr =0.02, average batch_loss = 0.57189629063419, Training Error = 0.291015625
Testing... average test_loss = 0.8284637706416, average test_pred_err = 0.471
Snapshotting C_model... done
Iteration no. 201, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54529717418817, Training Error = 0.283203125
Iteration no. 202, lr = 0.98, attribute lr =0.02, average batch_loss = 0.57213939756374, Training Error = 0.3046875
Iteration no. 203, lr = 0.98, attribute lr =0.02, average batch_loss = 0.57807999956668, Training Error = 0.3125
Iteration no. 204, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54469788054872, Training Error = 0.26953125
Iteration no. 205, lr = 0.98, attribute lr =0.02, average batch_loss = 0.55045648014238, Training Error = 0.271484375
Iteration no. 206, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5379899697528, Training Error = 0.263671875
Iteration no. 207, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54914745035502, Training Error = 0.298828125
Iteration no. 208, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54781973416896, Training Error = 0.298828125
Iteration no. 209, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5302695567875, Training Error = 0.287109375
Iteration no. 210, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5511080779304, Training Error = 0.306640625
Iteration no. 211, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54613077758367, Training Error = 0.27734375
Iteration no. 212, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56954486846222, Training Error = 0.3203125
Iteration no. 213, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53057440782676, Training Error = 0.28515625
Iteration no. 214, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54674770970097, Training Error = 0.28125
Iteration no. 215, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56875210750801, Training Error = 0.31640625
Iteration no. 216, lr = 0.98, attribute lr =0.02, average batch_loss = 0.58035869541622, Training Error = 0.31640625
Iteration no. 217, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56850467959081, Training Error = 0.294921875
Iteration no. 218, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5349371183439, Training Error = 0.271484375
Iteration no. 219, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53451568767707, Training Error = 0.30078125
Iteration no. 220, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54902175653639, Training Error = 0.29296875
Iteration no. 221, lr = 0.98, attribute lr =0.02, average batch_loss = 0.61667502501461, Training Error = 0.34765625
Iteration no. 222, lr = 0.98, attribute lr =0.02, average batch_loss = 0.50174267345566, Training Error = 0.22265625
Iteration no. 223, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53411583214724, Training Error = 0.27734375
Iteration no. 224, lr = 0.98, attribute lr =0.02, average batch_loss = 0.55404979995384, Training Error = 0.294921875
Iteration no. 225, lr = 0.98, attribute lr =0.02, average batch_loss = 0.59216695516531, Training Error = 0.306640625
Iteration no. 226, lr = 0.98, attribute lr =0.02, average batch_loss = 0.51910752685715, Training Error = 0.275390625
Iteration no. 227, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54295974541337, Training Error = 0.2734375
Iteration no. 228, lr = 0.98, attribute lr =0.02, average batch_loss = 0.51477248535835, Training Error = 0.2734375
Iteration no. 229, lr = 0.98, attribute lr =0.02, average batch_loss = 0.55872295299205, Training Error = 0.306640625
Iteration no. 230, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5650274118779, Training Error = 0.287109375
Iteration no. 231, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54057361517265, Training Error = 0.287109375
Iteration no. 232, lr = 0.98, attribute lr =0.02, average batch_loss = 0.52734102242338, Training Error = 0.26953125
Iteration no. 233, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53403593672276, Training Error = 0.267578125
Iteration no. 234, lr = 0.98, attribute lr =0.02, average batch_loss = 0.55655489156582, Training Error = 0.287109375
Iteration no. 235, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5451283483375, Training Error = 0.283203125
Iteration no. 236, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56472326257728, Training Error = 0.298828125
Iteration no. 237, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5782901234266, Training Error = 0.33203125
Iteration no. 238, lr = 0.98, attribute lr =0.02, average batch_loss = 0.55510397151591, Training Error = 0.30859375
Iteration no. 239, lr = 0.98, attribute lr =0.02, average batch_loss = 0.51930834636982, Training Error = 0.26953125
Iteration no. 240, lr = 0.98, attribute lr =0.02, average batch_loss = 0.51957094286195, Training Error = 0.265625
Iteration no. 241, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53655130122217, Training Error = 0.26953125
Iteration no. 242, lr = 0.98, attribute lr =0.02, average batch_loss = 0.52459375460491, Training Error = 0.263671875
Iteration no. 243, lr = 0.98, attribute lr =0.02, average batch_loss = 0.52875322431125, Training Error = 0.275390625
Iteration no. 244, lr = 0.98, attribute lr =0.02, average batch_loss = 0.50312069501326, Training Error = 0.25390625
Iteration no. 245, lr = 0.98, attribute lr =0.02, average batch_loss = 0.5552779331743, Training Error = 0.302734375
Iteration no. 246, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56757961587016, Training Error = 0.318359375
Iteration no. 247, lr = 0.98, attribute lr =0.02, average batch_loss = 0.50539128954466, Training Error = 0.255859375
Iteration no. 248, lr = 0.98, attribute lr =0.02, average batch_loss = 0.54795310164081, Training Error = 0.279296875
Iteration no. 249, lr = 0.98, attribute lr =0.02, average batch_loss = 0.56132888006739, Training Error = 0.291015625
Iteration no. 250, lr = 0.98, attribute lr =0.02, average batch_loss = 0.51343995969466, Training Error = 0.25
Testing... average test_loss = 0.83938068168978, average test_pred_err = 0.453
Iteration no. 251, lr = 0.98, attribute lr =0.02, average batch_loss = 0.53827555345829, Training Error = 0.26953125
Iteration no. 252, lr = 0.98, attribute lr =0.02, average batch_loss = 0.52367341898867, Training Error = 0.267578125
Iteration no. 253, lr = 0.98, attribute lr =0.02, average batch_loss = 0.52339388517167, Training Error = 0.279296875
