Loading pretrained model... done
Testing... average test_loss = 7.1997453351198, average test_pred_err = 0.499
Iteration no. 1, lr = 2, attribute lr =0.02, average batch_loss = 8.0206241799606, Training Error = 0.48828125
Iteration no. 53, lr = 2, attribute lr =0.02, average batch_loss = 0.62303577427769, Training Error = 0.3515625
Iteration no. 54, lr = 2, attribute lr =0.02, average batch_loss = 0.62892459379832, Training Error = 0.369140625
Iteration no. 55, lr = 2, attribute lr =0.02, average batch_loss = 0.64426656401812, Training Error = 0.375
Iteration no. 56, lr = 2, attribute lr =0.02, average batch_loss = 0.61002808264348, Training Error = 0.337890625
Iteration no. 57, lr = 2, attribute lr =0.02, average batch_loss = 0.63212299548537, Training Error = 0.376953125
Iteration no. 58, lr = 2, attribute lr =0.02, average batch_loss = 0.64374345320677, Training Error = 0.37109375
Iteration no. 59, lr = 2, attribute lr =0.02, average batch_loss = 0.67191588205337, Training Error = 0.431640625
Iteration no. 60, lr = 2, attribute lr =0.02, average batch_loss = 0.65574189431965, Training Error = 0.376953125
Iteration no. 61, lr = 2, attribute lr =0.02, average batch_loss = 0.64801830010789, Training Error = 0.384765625
Iteration no. 62, lr = 2, attribute lr =0.02, average batch_loss = 0.63533907375114, Training Error = 0.361328125
Iteration no. 63, lr = 2, attribute lr =0.02, average batch_loss = 0.61288833287117, Training Error = 0.345703125
Iteration no. 64, lr = 2, attribute lr =0.02, average batch_loss = 0.61401153062699, Training Error = 0.33203125
Iteration no. 65, lr = 2, attribute lr =0.02, average batch_loss = 0.61880789785482, Training Error = 0.35546875
Iteration no. 66, lr = 2, attribute lr =0.02, average batch_loss = 0.62778798742617, Training Error = 0.361328125
Iteration no. 67, lr = 2, attribute lr =0.02, average batch_loss = 0.61986943080037, Training Error = 0.353515625
Iteration no. 68, lr = 2, attribute lr =0.02, average batch_loss = 0.63149840658143, Training Error = 0.373046875
Iteration no. 69, lr = 2, attribute lr =0.02, average batch_loss = 0.62459475677625, Training Error = 0.345703125
Iteration no. 70, lr = 2, attribute lr =0.02, average batch_loss = 0.61573392230541, Training Error = 0.353515625
Iteration no. 71, lr = 2, attribute lr =0.02, average batch_loss = 0.63480140325013, Training Error = 0.37109375
Iteration no. 72, lr = 2, attribute lr =0.02, average batch_loss = 0.63244350093859, Training Error = 0.390625
Iteration no. 73, lr = 2, attribute lr =0.02, average batch_loss = 0.62554494230595, Training Error = 0.361328125
Iteration no. 74, lr = 2, attribute lr =0.02, average batch_loss = 0.6054133108328, Training Error = 0.3359375
Iteration no. 75, lr = 2, attribute lr =0.02, average batch_loss = 0.63017694740691, Training Error = 0.375
Iteration no. 76, lr = 2, attribute lr =0.02, average batch_loss = 0.61651112414397, Training Error = 0.3359375
Iteration no. 77, lr = 2, attribute lr =0.02, average batch_loss = 0.5837209786613, Training Error = 0.322265625
Iteration no. 78, lr = 2, attribute lr =0.02, average batch_loss = 0.58515620160334, Training Error = 0.30078125
Iteration no. 79, lr = 2, attribute lr =0.02, average batch_loss = 0.61461214342411, Training Error = 0.337890625
Iteration no. 80, lr = 2, attribute lr =0.02, average batch_loss = 0.60130833403023, Training Error = 0.3125
Iteration no. 81, lr = 2, attribute lr =0.02, average batch_loss = 0.60122766392939, Training Error = 0.333984375
Iteration no. 82, lr = 2, attribute lr =0.02, average batch_loss = 0.59859843056709, Training Error = 0.337890625
Iteration no. 83, lr = 2, attribute lr =0.02, average batch_loss = 0.61468445770767, Training Error = 0.337890625
Iteration no. 84, lr = 2, attribute lr =0.02, average batch_loss = 0.60779290621409, Training Error = 0.33984375
Iteration no. 85, lr = 2, attribute lr =0.02, average batch_loss = 0.63228401819906, Training Error = 0.3515625
Iteration no. 86, lr = 2, attribute lr =0.02, average batch_loss = 0.62119355603406, Training Error = 0.37109375
Iteration no. 87, lr = 2, attribute lr =0.02, average batch_loss = 0.64476919676558, Training Error = 0.34765625
Iteration no. 88, lr = 2, attribute lr =0.02, average batch_loss = 0.61862872067758, Training Error = 0.345703125
Iteration no. 89, lr = 2, attribute lr =0.02, average batch_loss = 0.6107677938426, Training Error = 0.34375
Iteration no. 90, lr = 2, attribute lr =0.02, average batch_loss = 0.61267217896844, Training Error = 0.353515625
Iteration no. 91, lr = 2, attribute lr =0.02, average batch_loss = 0.60263943385795, Training Error = 0.345703125
Iteration no. 92, lr = 2, attribute lr =0.02, average batch_loss = 0.59672452640104, Training Error = 0.3359375
Iteration no. 93, lr = 2, attribute lr =0.02, average batch_loss = 0.63031542720349, Training Error = 0.3671875
Iteration no. 94, lr = 2, attribute lr =0.02, average batch_loss = 0.62537842237297, Training Error = 0.3515625
Iteration no. 95, lr = 2, attribute lr =0.02, average batch_loss = 0.61095580490634, Training Error = 0.361328125
Iteration no. 96, lr = 2, attribute lr =0.02, average batch_loss = 0.59246670555163, Training Error = 0.34765625
Iteration no. 97, lr = 2, attribute lr =0.02, average batch_loss = 0.63747683679943, Training Error = 0.38671875
Iteration no. 98, lr = 2, attribute lr =0.02, average batch_loss = 0.60322385012481, Training Error = 0.328125
Iteration no. 99, lr = 2, attribute lr =0.02, average batch_loss = 0.60683127739096, Training Error = 0.357421875
Iteration no. 100, lr = 2, attribute lr =0.02, average batch_loss = 0.59988841656498, Training Error = 0.330078125
Testing... average test_loss = 0.77013094712216, average test_pred_err = 0.484
Snapshotting C_model... done
Iteration no. 101, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57074933394859, Training Error = 0.2890625
Iteration no. 102, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61955616356665, Training Error = 0.361328125
Iteration no. 103, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59195015766433, Training Error = 0.310546875
Iteration no. 104, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59666378121483, Training Error = 0.3125
Iteration no. 105, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61848107973415, Training Error = 0.349609375
Iteration no. 106, lr = 1.4, attribute lr =0.014, average batch_loss = 0.62104665224702, Training Error = 0.322265625
Iteration no. 107, lr = 1.4, attribute lr =0.014, average batch_loss = 0.60798022175814, Training Error = 0.31640625
Iteration no. 108, lr = 1.4, attribute lr =0.014, average batch_loss = 0.62634363696311, Training Error = 0.376953125
Iteration no. 109, lr = 1.4, attribute lr =0.014, average batch_loss = 0.60019187492155, Training Error = 0.330078125
Iteration no. 110, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57387241139001, Training Error = 0.298828125
Iteration no. 111, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61241928957873, Training Error = 0.3515625
Iteration no. 112, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59716404162807, Training Error = 0.341796875
Iteration no. 113, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57824064016753, Training Error = 0.326171875
Iteration no. 114, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57310967067954, Training Error = 0.318359375
Iteration no. 115, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58275146012616, Training Error = 0.314453125
Iteration no. 116, lr = 1.4, attribute lr =0.014, average batch_loss = 0.65403935866191, Training Error = 0.380859375
Iteration no. 117, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58034371799361, Training Error = 0.314453125
Iteration no. 118, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59119312645308, Training Error = 0.3125
Iteration no. 119, lr = 1.4, attribute lr =0.014, average batch_loss = 0.6069877738452, Training Error = 0.33984375
Iteration no. 120, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57372432978602, Training Error = 0.29296875
Iteration no. 121, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58464341130525, Training Error = 0.330078125
Iteration no. 122, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57310111204006, Training Error = 0.322265625
Iteration no. 123, lr = 1.4, attribute lr =0.014, average batch_loss = 0.63313507643302, Training Error = 0.365234375
Iteration no. 124, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59739711735019, Training Error = 0.32421875
Iteration no. 125, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61102457605942, Training Error = 0.34765625
Iteration no. 126, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58622867526225, Training Error = 0.31640625
Iteration no. 127, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61329412598797, Training Error = 0.337890625
Iteration no. 128, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61729223434666, Training Error = 0.3515625
Iteration no. 129, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5776673776279, Training Error = 0.30078125
Iteration no. 130, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58297841314257, Training Error = 0.302734375
Iteration no. 131, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56106883288157, Training Error = 0.287109375
Iteration no. 132, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59216171301553, Training Error = 0.32421875
Iteration no. 133, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57666782159278, Training Error = 0.322265625
Iteration no. 134, lr = 1.4, attribute lr =0.014, average batch_loss = 0.62110262905006, Training Error = 0.369140625
Iteration no. 135, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5545000274001, Training Error = 0.302734375
Iteration no. 136, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57246058188481, Training Error = 0.310546875
Iteration no. 137, lr = 1.4, attribute lr =0.014, average batch_loss = 0.60300609183195, Training Error = 0.333984375
Iteration no. 138, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58014111728214, Training Error = 0.314453125
Iteration no. 139, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58728956676161, Training Error = 0.3359375
Iteration no. 140, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58402885323686, Training Error = 0.302734375
Iteration no. 141, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56830015285005, Training Error = 0.279296875
Iteration no. 142, lr = 1.4, attribute lr =0.014, average batch_loss = 0.63182313565882, Training Error = 0.361328125
Iteration no. 143, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58349548457972, Training Error = 0.30859375
Iteration no. 144, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57944472378809, Training Error = 0.310546875
Iteration no. 145, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57561681066076, Training Error = 0.298828125
Iteration no. 146, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57971826366351, Training Error = 0.31640625
Iteration no. 147, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58115649662312, Training Error = 0.3046875
Iteration no. 148, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58729017109155, Training Error = 0.298828125
Iteration no. 149, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57391470459615, Training Error = 0.296875
Iteration no. 150, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5866470103417, Training Error = 0.326171875
Testing... average test_loss = 0.81044480558306, average test_pred_err = 0.489
Iteration no. 151, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57285123767787, Training Error = 0.298828125
Iteration no. 152, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59218538550869, Training Error = 0.318359375
Iteration no. 153, lr = 1.4, attribute lr =0.014, average batch_loss = 0.61256341129829, Training Error = 0.337890625
Iteration no. 154, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59541998513453, Training Error = 0.3359375
Iteration no. 155, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56982938732192, Training Error = 0.296875
Iteration no. 156, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58248027004226, Training Error = 0.326171875
Iteration no. 157, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5903286748781, Training Error = 0.3046875
Iteration no. 158, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56489620108822, Training Error = 0.287109375
Iteration no. 159, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59496213072655, Training Error = 0.3359375
Iteration no. 160, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57642243049544, Training Error = 0.31640625
Iteration no. 161, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57661599454824, Training Error = 0.287109375
Iteration no. 162, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56897015118983, Training Error = 0.310546875
Iteration no. 163, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57630543827937, Training Error = 0.3046875
Iteration no. 164, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57219016052726, Training Error = 0.294921875
Iteration no. 165, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56306314811127, Training Error = 0.294921875
Iteration no. 166, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5783532816319, Training Error = 0.296875
Iteration no. 167, lr = 1.4, attribute lr =0.014, average batch_loss = 0.62737415229135, Training Error = 0.353515625
Iteration no. 168, lr = 1.4, attribute lr =0.014, average batch_loss = 0.53944299188691, Training Error = 0.2734375
Iteration no. 169, lr = 1.4, attribute lr =0.014, average batch_loss = 0.55252865176313, Training Error = 0.294921875
Iteration no. 170, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5832547435648, Training Error = 0.29296875
Iteration no. 171, lr = 1.4, attribute lr =0.014, average batch_loss = 0.60220973511423, Training Error = 0.33984375
Iteration no. 172, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56908317945306, Training Error = 0.306640625
Iteration no. 173, lr = 1.4, attribute lr =0.014, average batch_loss = 0.60929347111655, Training Error = 0.34765625
Iteration no. 174, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58215495226595, Training Error = 0.318359375
Iteration no. 175, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5688324279438, Training Error = 0.3125
Iteration no. 176, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57555286640101, Training Error = 0.33203125
Iteration no. 177, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57677414099103, Training Error = 0.3046875
Iteration no. 178, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56935411326801, Training Error = 0.302734375
Iteration no. 179, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56484367452888, Training Error = 0.302734375
Iteration no. 180, lr = 1.4, attribute lr =0.014, average batch_loss = 0.55059342035625, Training Error = 0.283203125
Iteration no. 181, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56845554461337, Training Error = 0.30859375
Iteration no. 182, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56246449283865, Training Error = 0.29296875
Iteration no. 183, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5913500185344, Training Error = 0.3203125
Iteration no. 184, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59355867021374, Training Error = 0.32421875
Iteration no. 185, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57547555378127, Training Error = 0.31640625
Iteration no. 186, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58613880635264, Training Error = 0.326171875
Iteration no. 187, lr = 1.4, attribute lr =0.014, average batch_loss = 0.59485279929338, Training Error = 0.31640625
Iteration no. 188, lr = 1.4, attribute lr =0.014, average batch_loss = 0.58002086153811, Training Error = 0.3046875
Iteration no. 189, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56093988491051, Training Error = 0.298828125
Iteration no. 190, lr = 1.4, attribute lr =0.014, average batch_loss = 0.56158271683483, Training Error = 0.283203125
Iteration no. 191, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57705752428924, Training Error = 0.314453125
Iteration no. 192, lr = 1.4, attribute lr =0.014, average batch_loss = 0.55864060258203, Training Error = 0.296875
Iteration no. 193, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57491195804244, Training Error = 0.3046875
Iteration no. 194, lr = 1.4, attribute lr =0.014, average batch_loss = 0.54431849229382, Training Error = 0.3046875
Iteration no. 195, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57747226194607, Training Error = 0.3125
Iteration no. 196, lr = 1.4, attribute lr =0.014, average batch_loss = 0.55695459389174, Training Error = 0.298828125
Iteration no. 197, lr = 1.4, attribute lr =0.014, average batch_loss = 0.57364596006206, Training Error = 0.306640625
Iteration no. 198, lr = 1.4, attribute lr =0.014, average batch_loss = 0.52458798015888, Training Error = 0.26953125
Iteration no. 199, lr = 1.4, attribute lr =0.014, average batch_loss = 0.53186822960127, Training Error = 0.265625
Iteration no. 200, lr = 1.4, attribute lr =0.014, average batch_loss = 0.5260540811887, Training Error = 0.248046875
Testing... average test_loss = 0.85415347615712, average test_pred_err = 0.495
Snapshotting C_model... done
Iteration no. 201, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56932081033989, Training Error = 0.30859375
Iteration no. 202, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57303936881421, Training Error = 0.294921875
Iteration no. 203, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56217902677817, Training Error = 0.306640625
Iteration no. 204, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.55707248346569, Training Error = 0.2890625
Iteration no. 205, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.55539948064907, Training Error = 0.275390625
Iteration no. 206, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54467287563903, Training Error = 0.298828125
Iteration no. 207, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56669448070656, Training Error = 0.306640625
Iteration no. 208, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.52719954625105, Training Error = 0.236328125
Iteration no. 209, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56823734033245, Training Error = 0.3046875
Iteration no. 210, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.58101827629255, Training Error = 0.328125
Iteration no. 211, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.55781667238769, Training Error = 0.294921875
Iteration no. 212, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56180612472112, Training Error = 0.322265625
Iteration no. 213, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54209439652706, Training Error = 0.2578125
Iteration no. 214, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.5613433368436, Training Error = 0.29296875
Iteration no. 215, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57481668935173, Training Error = 0.30859375
Iteration no. 216, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57283162139644, Training Error = 0.30859375
Iteration no. 217, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.55693738804659, Training Error = 0.29296875
Iteration no. 218, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57202056998869, Training Error = 0.3046875
Iteration no. 219, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.547262089679, Training Error = 0.291015625
Iteration no. 220, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.55146949468072, Training Error = 0.279296875
Iteration no. 221, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54166613076256, Training Error = 0.275390625
Iteration no. 222, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56800368055962, Training Error = 0.294921875
Iteration no. 223, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.58863917827562, Training Error = 0.314453125
Iteration no. 224, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56613771369117, Training Error = 0.28515625
Iteration no. 225, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.60438180833083, Training Error = 0.34375
Iteration no. 226, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57316891477372, Training Error = 0.306640625
Iteration no. 227, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.52781902309305, Training Error = 0.271484375
Iteration no. 228, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57462627826237, Training Error = 0.3125
Iteration no. 229, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56230777010359, Training Error = 0.302734375
Iteration no. 230, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.53109684386165, Training Error = 0.2578125
Iteration no. 231, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56645044962806, Training Error = 0.32421875
Iteration no. 232, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.5417621669849, Training Error = 0.298828125
Iteration no. 233, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.61025666608346, Training Error = 0.328125
Iteration no. 234, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56935912678491, Training Error = 0.30859375
Iteration no. 235, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.52669118407451, Training Error = 0.248046875
Iteration no. 236, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.60058088632382, Training Error = 0.32421875
Iteration no. 237, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.58942550243675, Training Error = 0.31640625
Iteration no. 238, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56141868883587, Training Error = 0.283203125
Iteration no. 239, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.53707719503353, Training Error = 0.27734375
Iteration no. 240, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57832127401432, Training Error = 0.298828125
Iteration no. 241, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.58079163514655, Training Error = 0.3125
Iteration no. 242, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.57035475566842, Training Error = 0.291015625
Iteration no. 243, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54699632412878, Training Error = 0.27734375
Iteration no. 244, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56381602143396, Training Error = 0.296875
Iteration no. 245, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.53397979540266, Training Error = 0.263671875
Iteration no. 246, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54329552945718, Training Error = 0.28125
Iteration no. 247, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.53970079477378, Training Error = 0.28125
Iteration no. 248, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.56928970727657, Training Error = 0.296875
Iteration no. 249, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54821572386034, Training Error = 0.267578125
Iteration no. 250, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.54880273931855, Training Error = 0.2734375
Testing... average test_loss = 0.80687537531845, average test_pred_err = 0.463
Iteration no. 251, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.58397392007532, Training Error = 0.32421875
Iteration no. 252, lr = 0.98, attribute lr =0.0098, average batch_loss = 0.53066903280451, Training Error = 0.255859375
