Creating model... done
Training with snapshotting enabled... 
Testing... 
test_loss = 0.75552588701248, test_pred_err = 0.4921875
iter 1, lr: 2, attr_lr: 0, batch_loss: 0.74227534234524, train_err: 0.484375, grad_norm: 0.084692731499672, mem: 6276.236328125
iter 79, lr: 2, attr_lr: 0, batch_loss: 0.63173505663872, train_err: 0.3359375, grad_norm: 0.28277036547661, mem: 7526.8779296875
iter 80, lr: 2, attr_lr: 0, batch_loss: 0.59447525441647, train_err: 0.328125, grad_norm: 0.25601878762245, mem: 6676.6591796875
iter 81, lr: 2, attr_lr: 0, batch_loss: 0.57693973183632, train_err: 0.2890625, grad_norm: 0.28524604439735, mem: 5582.546875
iter 82, lr: 2, attr_lr: 0, batch_loss: 0.50685688853264, train_err: 0.2265625, grad_norm: 0.25105106830597, mem: 4729.2666015625
iter 83, lr: 2, attr_lr: 0, batch_loss: 0.54899719357491, train_err: 0.25, grad_norm: 0.30333223938942, mem: 8193.3173828125
iter 84, lr: 2, attr_lr: 0, batch_loss: 0.52835321426392, train_err: 0.265625, grad_norm: 0.2597599029541, mem: 7343.845703125
iter 85, lr: 2, attr_lr: 0, batch_loss: 0.58349066972733, train_err: 0.3046875, grad_norm: 0.30796986818314, mem: 7466.5830078125
iter 86, lr: 2, attr_lr: 0, batch_loss: 0.52677592635155, train_err: 0.2265625, grad_norm: 0.16112281382084, mem: 7458.9189453125
iter 87, lr: 2, attr_lr: 0, batch_loss: 0.56243655085564, train_err: 0.28125, grad_norm: 0.32591927051544, mem: 7451.5439453125
iter 88, lr: 2, attr_lr: 0, batch_loss: 0.53579825162888, train_err: 0.265625, grad_norm: 0.26720947027206, mem: 7444.294921875
iter 89, lr: 2, attr_lr: 0, batch_loss: 0.58154600858688, train_err: 0.2890625, grad_norm: 0.24794255197048, mem: 6598.7705078125
iter 90, lr: 2, attr_lr: 0, batch_loss: 0.53740486502647, train_err: 0.2578125, grad_norm: 0.24504473805428, mem: 5502.19921875
iter 91, lr: 2, attr_lr: 0, batch_loss: 0.50282135605812, train_err: 0.234375, grad_norm: 0.23931287229061, mem: 4655.59375
iter 92, lr: 2, attr_lr: 0, batch_loss: 0.54554003477097, train_err: 0.3046875, grad_norm: 0.29969367384911, mem: 8135.8681640625
iter 93, lr: 2, attr_lr: 0, batch_loss: 0.5509070456028, train_err: 0.3046875, grad_norm: 0.21425628662109, mem: 7283.2294921875
iter 94, lr: 2, attr_lr: 0, batch_loss: 0.56910520792007, train_err: 0.28125, grad_norm: 0.26885467767715, mem: 7395.9375
iter 95, lr: 2, attr_lr: 0, batch_loss: 0.52763485908508, train_err: 0.28125, grad_norm: 0.21987456083298, mem: 6544.912109375
iter 96, lr: 2, attr_lr: 0, batch_loss: 0.51136244833469, train_err: 0.2578125, grad_norm: 0.22756913304329, mem: 5447.005859375
iter 97, lr: 2, attr_lr: 0, batch_loss: 0.56787672638893, train_err: 0.3203125, grad_norm: 0.28260615468025, mem: 4596.3359375
iter 98, lr: 2, attr_lr: 0, batch_loss: 0.66943266987801, train_err: 0.3203125, grad_norm: 0.36602970957756, mem: 8085.935546875
iter 99, lr: 2, attr_lr: 0, batch_loss: 0.57346944510937, train_err: 0.2578125, grad_norm: 0.19977183640003, mem: 7237.53125
iter 100, lr: 2, attr_lr: 0, batch_loss: 0.55106614530087, train_err: 0.25, grad_norm: 0.33305531740189, mem: 7338.9169921875
Testing... 
test_loss = 0.44589933753014, test_pred_err = 0.1484375
Snapshotting C_model... done
iter 101, lr: 2, attr_lr: 0, batch_loss: 0.50751301646233, train_err: 0.2265625, grad_norm: 0.26056918501854, mem: 4357.064453125
iter 102, lr: 2, attr_lr: 0, batch_loss: 0.57514357566833, train_err: 0.296875, grad_norm: 0.28721669316292, mem: 7883.0625
iter 103, lr: 2, attr_lr: 0, batch_loss: 0.52138358354568, train_err: 0.21875, grad_norm: 0.26580440998077, mem: 7181.3310546875
iter 104, lr: 2, attr_lr: 0, batch_loss: 0.572778865695, train_err: 0.296875, grad_norm: 0.28144344687462, mem: 7270.0400390625
iter 105, lr: 2, attr_lr: 0, batch_loss: 0.52358281612396, train_err: 0.296875, grad_norm: 0.27237844467163, mem: 7255.416015625
iter 106, lr: 2, attr_lr: 0, batch_loss: 0.54057908058167, train_err: 0.3125, grad_norm: 0.28265434503555, mem: 7251.568359375
iter 107, lr: 2, attr_lr: 0, batch_loss: 0.55500736832619, train_err: 0.3046875, grad_norm: 0.33519518375397, mem: 7244.703125
iter 108, lr: 2, attr_lr: 0, batch_loss: 0.51772338151932, train_err: 0.328125, grad_norm: 0.2710334956646, mem: 7241.8857421875
iter 109, lr: 2, attr_lr: 0, batch_loss: 0.51649421453476, train_err: 0.3046875, grad_norm: 0.2628983259201, mem: 7231.6298828125
iter 110, lr: 2, attr_lr: 0, batch_loss: 0.59665250778198, train_err: 0.3203125, grad_norm: 0.38962054252625, mem: 7226.26953125
iter 111, lr: 2, attr_lr: 0, batch_loss: 0.51671829819679, train_err: 0.2578125, grad_norm: 0.23370517790318, mem: 7216.69921875
iter 112, lr: 2, attr_lr: 0, batch_loss: 0.58576786518097, train_err: 0.328125, grad_norm: 0.35085293650627, mem: 7200.513671875
iter 113, lr: 2, attr_lr: 0, batch_loss: 0.58630561828613, train_err: 0.296875, grad_norm: 0.2746442258358, mem: 7193.2998046875
iter 114, lr: 2, attr_lr: 0, batch_loss: 0.54944790899754, train_err: 0.3203125, grad_norm: 0.30475264787674, mem: 7187.9140625
iter 115, lr: 2, attr_lr: 0, batch_loss: 0.53990906476974, train_err: 0.3203125, grad_norm: 0.31953701376915, mem: 7183.4208984375
iter 116, lr: 2, attr_lr: 0, batch_loss: 0.55681651830673, train_err: 0.2734375, grad_norm: 0.37653940916061, mem: 7175.4052734375
iter 117, lr: 2, attr_lr: 0, batch_loss: 0.55631595849991, train_err: 0.25, grad_norm: 0.29554989933968, mem: 7174.66015625
iter 118, lr: 2, attr_lr: 0, batch_loss: 0.55372422933578, train_err: 0.296875, grad_norm: 0.337716370821, mem: 7166.740234375
iter 119, lr: 2, attr_lr: 0, batch_loss: 0.56399175524712, train_err: 0.28125, grad_norm: 0.28973984718323, mem: 7164.294921875
iter 120, lr: 2, attr_lr: 0, batch_loss: 0.58710771799088, train_err: 0.3046875, grad_norm: 0.23166610300541, mem: 7153.478515625
iter 121, lr: 2, attr_lr: 0, batch_loss: 0.57343915104866, train_err: 0.3359375, grad_norm: 0.35912519693375, mem: 7151.8671875
iter 122, lr: 2, attr_lr: 0, batch_loss: 0.51826766133308, train_err: 0.25, grad_norm: 0.20764760673046, mem: 7141.134765625
iter 123, lr: 2, attr_lr: 0, batch_loss: 0.53831198811531, train_err: 0.3046875, grad_norm: 0.22873939573765, mem: 7143.5361328125
iter 124, lr: 2, attr_lr: 0, batch_loss: 0.56320714950562, train_err: 0.28125, grad_norm: 0.20233622193336, mem: 7131.6337890625
iter 125, lr: 2, attr_lr: 0, batch_loss: 0.56694686412811, train_err: 0.296875, grad_norm: 0.2472065538168, mem: 7130.7666015625
iter 126, lr: 2, attr_lr: 0, batch_loss: 0.56151714920998, train_err: 0.3203125, grad_norm: 0.1802294999361, mem: 7124.6279296875
iter 127, lr: 2, attr_lr: 0, batch_loss: 0.62512058019638, train_err: 0.34375, grad_norm: 0.32277452945709, mem: 7119.3037109375
iter 128, lr: 2, attr_lr: 0, batch_loss: 0.59344905614853, train_err: 0.3359375, grad_norm: 0.21422439813614, mem: 7110.900390625
iter 129, lr: 2, attr_lr: 0, batch_loss: 0.53883862495422, train_err: 0.28125, grad_norm: 0.27512472867966, mem: 5175.8515625
iter 130, lr: 2, attr_lr: 0, batch_loss: 0.5464174747467, train_err: 0.3125, grad_norm: 0.2714307308197, mem: 8774.40625
iter 131, lr: 2, attr_lr: 0, batch_loss: 0.51851743459702, train_err: 0.25, grad_norm: 0.2926199734211, mem: 5997.8134765625
iter 132, lr: 2, attr_lr: 0, batch_loss: 0.49705193936825, train_err: 0.2109375, grad_norm: 0.31520050764084, mem: 7922.4150390625
iter 133, lr: 2, attr_lr: 0, batch_loss: 0.54926031827927, train_err: 0.28125, grad_norm: 0.2638121843338, mem: 5786.1904296875
iter 134, lr: 2, attr_lr: 0, batch_loss: 0.53347516059875, train_err: 0.2890625, grad_norm: 0.26505827903748, mem: 7915.23828125
iter 135, lr: 2, attr_lr: 0, batch_loss: 0.51012068986893, train_err: 0.2265625, grad_norm: 0.27011957764626, mem: 5775.802734375
iter 136, lr: 2, attr_lr: 0, batch_loss: 0.54996770620346, train_err: 0.265625, grad_norm: 0.29609104990959, mem: 7903.6826171875
iter 137, lr: 2, attr_lr: 0, batch_loss: 0.50538423657417, train_err: 0.2421875, grad_norm: 0.27260300517082, mem: 5776.8779296875
iter 138, lr: 2, attr_lr: 0, batch_loss: 0.49570646882057, train_err: 0.21875, grad_norm: 0.24229583144188, mem: 7902.666015625
iter 139, lr: 2, attr_lr: 0, batch_loss: 0.60295587778091, train_err: 0.34375, grad_norm: 0.29878368973732, mem: 5763.2490234375
iter 140, lr: 2, attr_lr: 0, batch_loss: 0.58163876831532, train_err: 0.34375, grad_norm: 0.19211345911026, mem: 7893.0380859375
iter 141, lr: 2, attr_lr: 0, batch_loss: 0.54630082845688, train_err: 0.3203125, grad_norm: 0.29624912142754, mem: 5759.4951171875
iter 142, lr: 2, attr_lr: 0, batch_loss: 0.51520851254463, train_err: 0.2578125, grad_norm: 0.2512563765049, mem: 7887.810546875
iter 143, lr: 2, attr_lr: 0, batch_loss: 0.49459783732891, train_err: 0.2421875, grad_norm: 0.19261872768402, mem: 5750.3876953125
iter 144, lr: 2, attr_lr: 0, batch_loss: 0.503573179245, train_err: 0.296875, grad_norm: 0.37726101279259, mem: 7884.693359375
iter 145, lr: 2, attr_lr: 0, batch_loss: 0.55394420027733, train_err: 0.2890625, grad_norm: 0.29141479730606, mem: 5744.498046875
iter 146, lr: 2, attr_lr: 0, batch_loss: 0.59356907010078, train_err: 0.265625, grad_norm: 0.25676959753036, mem: 7876.9375
iter 147, lr: 2, attr_lr: 0, batch_loss: 0.53012388944626, train_err: 0.3203125, grad_norm: 0.22381834685802, mem: 4896.302734375
iter 148, lr: 2, attr_lr: 0, batch_loss: 0.57048761844635, train_err: 0.3203125, grad_norm: 0.29879203438759, mem: 7870.7490234375
iter 149, lr: 2, attr_lr: 0, batch_loss: 0.51837980747223, train_err: 0.25, grad_norm: 0.26607495546341, mem: 5725.384765625
iter 150, lr: 2, attr_lr: 0, batch_loss: 0.52169966697693, train_err: 0.28125, grad_norm: 0.30673745274544, mem: 6773.75
Testing... 
test_loss = 0.38980734348297, test_pred_err = 0.1953125
iter 151, lr: 2, attr_lr: 0, batch_loss: 0.5486413538456, train_err: 0.28125, grad_norm: 0.31069189310074, mem: 7419.26953125
iter 152, lr: 2, attr_lr: 0, batch_loss: 0.59490662813187, train_err: 0.3359375, grad_norm: 0.23269745707512, mem: 6513.1533203125
iter 153, lr: 2, attr_lr: 0, batch_loss: 0.51251670718193, train_err: 0.2578125, grad_norm: 0.28716784715652, mem: 7853.416015625
iter 154, lr: 2, attr_lr: 0, batch_loss: 0.52295765280724, train_err: 0.2578125, grad_norm: 0.36449521780014, mem: 4866.8349609375
iter 155, lr: 2, attr_lr: 0, batch_loss: 0.56734113395214, train_err: 0.359375, grad_norm: 0.27773401141167, mem: 5914.1923828125
iter 156, lr: 2, attr_lr: 0, batch_loss: 0.52517753839493, train_err: 0.296875, grad_norm: 0.4002760052681, mem: 7841.7265625
iter 157, lr: 2, attr_lr: 0, batch_loss: 0.55003014206886, train_err: 0.3125, grad_norm: 0.26018115878105, mem: 4857.0205078125
iter 158, lr: 2, attr_lr: 0, batch_loss: 0.51362624764442, train_err: 0.25, grad_norm: 0.2909944653511, mem: 5909.052734375
iter 159, lr: 2, attr_lr: 0, batch_loss: 0.52332592010498, train_err: 0.3125, grad_norm: 0.29538094997406, mem: 7830.9375
iter 160, lr: 2, attr_lr: 0, batch_loss: 0.59721717238426, train_err: 0.2890625, grad_norm: 0.28089627623558, mem: 4839.904296875
iter 161, lr: 2, attr_lr: 0, batch_loss: 0.51312205195427, train_err: 0.2890625, grad_norm: 0.27390816807747, mem: 5896.4716796875
iter 162, lr: 2, attr_lr: 0, batch_loss: 0.45721980929375, train_err: 0.2265625, grad_norm: 0.27859202027321, mem: 7825.708984375
iter 163, lr: 2, attr_lr: 0, batch_loss: 0.51897376775742, train_err: 0.2421875, grad_norm: 0.35177090764046, mem: 4829.0712890625
iter 164, lr: 2, attr_lr: 0, batch_loss: 0.5630775988102, train_err: 0.3046875, grad_norm: 0.26656293869019, mem: 5888.0966796875
iter 165, lr: 2, attr_lr: 0, batch_loss: 0.57998542487621, train_err: 0.34375, grad_norm: 0.27498024702072, mem: 6726.2890625
iter 166, lr: 2, attr_lr: 0, batch_loss: 0.54980474710464, train_err: 0.2890625, grad_norm: 0.2596783041954, mem: 6723.787109375
iter 167, lr: 2, attr_lr: 0, batch_loss: 0.51861307024956, train_err: 0.2578125, grad_norm: 0.30766651034355, mem: 7809.3681640625
iter 168, lr: 2, attr_lr: 0, batch_loss: 0.5510621368885, train_err: 0.2734375, grad_norm: 0.2914571762085, mem: 8646.416015625
iter 169, lr: 2, attr_lr: 0, batch_loss: 0.47881042957306, train_err: 0.2421875, grad_norm: 0.24940103292465, mem: 5652.34765625
iter 170, lr: 2, attr_lr: 0, batch_loss: 0.53408977389336, train_err: 0.3203125, grad_norm: 0.35040909051895, mem: 6714.26171875
iter 171, lr: 2, attr_lr: 0, batch_loss: 0.51178222894669, train_err: 0.3046875, grad_norm: 0.26807624101639, mem: 7804.71875
iter 172, lr: 2, attr_lr: 0, batch_loss: 0.51942464709282, train_err: 0.25, grad_norm: 0.28008732199669, mem: 4803.8798828125
iter 173, lr: 2, attr_lr: 0, batch_loss: 0.53385227918625, train_err: 0.2578125, grad_norm: 0.28923836350441, mem: 5962.24609375
iter 174, lr: 2, attr_lr: 0, batch_loss: 0.52176642417908, train_err: 0.25, grad_norm: 0.22687420248985, mem: 7795.326171875
iter 175, lr: 2, attr_lr: 0, batch_loss: 0.45334461331367, train_err: 0.25, grad_norm: 0.29246637225151, mem: 4799.0908203125
iter 176, lr: 2, attr_lr: 0, batch_loss: 0.63516700267792, train_err: 0.3359375, grad_norm: 0.30619969964027, mem: 5862.80078125
iter 177, lr: 2, attr_lr: 0, batch_loss: 0.49894416332245, train_err: 0.265625, grad_norm: 0.25568017363548, mem: 7790.3447265625
iter 178, lr: 2, attr_lr: 0, batch_loss: 0.58655112981796, train_err: 0.3125, grad_norm: 0.31541454792023, mem: 4792.43359375
iter 179, lr: 2, attr_lr: 0, batch_loss: 0.50463783740997, train_err: 0.265625, grad_norm: 0.20237788558006, mem: 5852.736328125
iter 180, lr: 2, attr_lr: 0, batch_loss: 0.45870338380337, train_err: 0.21875, grad_norm: 0.29504850506783, mem: 7786.314453125
iter 181, lr: 2, attr_lr: 0, batch_loss: 0.4736125767231, train_err: 0.1953125, grad_norm: 0.25599211454391, mem: 4781.3662109375
iter 182, lr: 2, attr_lr: 0, batch_loss: 0.62075433135033, train_err: 0.3515625, grad_norm: 0.35116815567017, mem: 5847.9609375
iter 183, lr: 2, attr_lr: 0, batch_loss: 0.51946306228638, train_err: 0.3046875, grad_norm: 0.37598067522049, mem: 7776.62109375
iter 184, lr: 2, attr_lr: 0, batch_loss: 0.5608029961586, train_err: 0.296875, grad_norm: 0.33933877944946, mem: 4775.7998046875
iter 185, lr: 2, attr_lr: 0, batch_loss: 0.52971813082695, train_err: 0.296875, grad_norm: 0.42943444848061, mem: 5643.291015625
iter 186, lr: 2, attr_lr: 0, batch_loss: 0.59263256192207, train_err: 0.328125, grad_norm: 0.45258352160454, mem: 6685.193359375
iter 187, lr: 2, attr_lr: 0, batch_loss: 0.62629809975624, train_err: 0.359375, grad_norm: 0.30342096090317, mem: 7773.634765625
iter 188, lr: 2, attr_lr: 0, batch_loss: 0.53833371400833, train_err: 0.2578125, grad_norm: 0.28316509723663, mem: 4772.5732421875
iter 189, lr: 2, attr_lr: 0, batch_loss: 0.53061850368977, train_err: 0.3203125, grad_norm: 0.2475371658802, mem: 5838.43359375
iter 190, lr: 2, attr_lr: 0, batch_loss: 0.56293737888336, train_err: 0.28125, grad_norm: 0.33343970775604, mem: 7764.9736328125
iter 191, lr: 2, attr_lr: 0, batch_loss: 0.48365625739098, train_err: 0.25, grad_norm: 0.2078413516283, mem: 8604.1630859375
